rule,support
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 LFD(Loss Of Frame Delineation)告警,0.001287001287001287
VCG端口宿端丢失全部容量 LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.0036465036465036463
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 LFD(Loss Of Frame Delineation)告警,0.0033247533247533247
VCG端口宿端丢失全部容量 不可用秒开始(UAS) LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
VCG端口宿端丢失全部容量 告警指示信号(LP-AIS) LFD(Loss Of Frame Delineation)告警,0.0020913770913770914
VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.004343629343629344
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) LFD(Loss Of Frame Delineation)告警,0.004343629343629344
VCG端口宿端丢失全部容量 误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
VCG端口宿端丢失部分容量 LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.001018876018876019
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量 LFD(Loss Of Frame Delineation)告警,0.0010725010725010724
VCG端口宿端丢失部分容量 不可用秒开始(UAS) LFD(Loss Of Frame Delineation)告警,0.001287001287001287
VCG端口宿端丢失部分容量 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.001287001287001287
VCG端口宿端丢失部分容量 指针丢失(LP-LOP) LFD(Loss Of Frame Delineation)告警,0.001287001287001287
VCG端口宿端丢失部分容量 误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警,0.001287001287001287
VCG端口源端丢失部分容量 LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.002842127842127842
不可用秒开始(UAS) LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.0036465036465036463
告警指示信号(LP-AIS) LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.0016623766623766623
增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.0036465036465036463
指针丢失(LP-LOP) LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.0036465036465036463
误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警 VCG端口源端丢失全部容量,0.0036465036465036463
VCG端口源端丢失部分容量 不可用秒开始(UAS) LFD(Loss Of Frame Delineation)告警,0.0033783783783783786
VCG端口源端丢失部分容量 告警指示信号(LP-AIS) LFD(Loss Of Frame Delineation)告警,0.001716001716001716
VCG端口源端丢失部分容量 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.0033783783783783786
VCG端口源端丢失部分容量 指针丢失(LP-LOP) LFD(Loss Of Frame Delineation)告警,0.0033783783783783786
VCG端口源端丢失部分容量 误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警,0.0033783783783783786
告警指示信号(LP-AIS) 不可用秒开始(UAS) LFD(Loss Of Frame Delineation)告警,0.0020913770913770914
不可用秒开始(UAS) 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
指针丢失(LP-LOP) 不可用秒开始(UAS) LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
不可用秒开始(UAS) 误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警,0.0044508794508794506
告警指示信号(LP-AIS) 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.0020913770913770914
指针丢失(LP-LOP) 告警指示信号(LP-AIS) LFD(Loss Of Frame Delineation)告警,0.0020913770913770914
告警指示信号(LP-AIS) 误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警,0.0020913770913770914
指针丢失(LP-LOP) 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
误码率越限(LP-EXC) 增强型远端服务缺陷指示（ERDI-S） LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
指针丢失(LP-LOP) 误码率越限(LP-EXC) LFD(Loss Of Frame Delineation)告警,0.0043972543972543975
ODU0_PM_LCK ODU0_PM_OCI ODU0_LOFLOM,0.0012333762333762333
ODU0_PM_LCK ODU2_PM_DEG ODU0_LOFLOM,0.001018876018876019
ODU2_PM_DEG ODU0_PM_OCI ODU0_LOFLOM,0.0014478764478764478
ODU0_PM_LCK ODU0_PM_OCI ODU2_PM_DEG,0.0016087516087516086
